date,open,high,low,close
15/02/2005,766.5,765.5,773.5,773.5
16/02/2005,773.5,761.5,773.5,763.5
17/02/2005,763.5,762.5,767.5,764.9
18/02/2005,764.9,759.3,764.9,759.3
21/02/2005,759.3,759.3,763,763
22/02/2005,763,756,763,759.3
23/02/2005,759.3,753,761.3,760.5
24/02/2005,760.5,760.5,764,763.5
25/02/2005,763.5,763.5,768.8,766.8
28/02/2005,766.8,766.8,775.3,769.8
01/03/2005,769.8,765.5,774.8,773.8
02/03/2005,773.8,770.8,777.3,775.5
03/03/2005,775.5,775.5,780,778
04/03/2005,778,778,784.5,783.8
07/03/2005,783.8,780.3,787.5,781.5
08/03/2005,781.5,776.8,781.5,777.8
09/03/2005,777.8,772.5,780.8,777
10/03/2005,777,765.8,777,767.3
11/03/2005,767.3,767.3,775,771
14/03/2005,771,767.5,775.3,774.8
15/03/2005,774.8,774.5,779.8,779.3
16/03/2005,779.3,766.5,779.3,766.5
17/03/2005,766.5,764.3,769.3,767
18/03/2005,767,763.8,770,764.8
21/03/2005,764.8,759,768.5,759.5
22/03/2005,759.5,759.3,768,767.5
23/03/2005,767.5,759.3,767.5,763.3
24/03/2005,763.3,758.3,763.3,761.5
29/03/2005,761.5,756.5,764,761.8
30/03/2005,761.8,754.5,761.8,759
31/03/2005,759,759,764,760.8
01/04/2005,760.8,760.3,769.5,768
04/04/2005,768,761.8,768,765.5
05/04/2005,765.5,765.5,773,772.8
06/04/2005,772.8,772.8,779,778
07/04/2005,778,776,780.5,779.5
08/04/2005,779.5,779.5,783.8,783.5
11/04/2005,783.5,781.3,787,786
12/04/2005,786,781.8,787,782.3
13/04/2005,782.3,782.3,790.5,789.5
14/04/2005,789.5,785.3,794.5,794
15/04/2005,794,780,794,782.5
18/04/2005,782.5,766.8,782.5,770
19/04/2005,770,770,776,771.5
20/04/2005,771.5,770.8,778.3,771.5
21/04/2005,771.5,769,777,774.3
22/04/2005,774.3,774.3,786.3,785
25/04/2005,785,773.8,785,779.5
26/04/2005,779.5,769.3,779.5,774.3
27/04/2005,774.3,754,774.3,754.5
28/04/2005,754.5,742.3,759.5,745
29/04/2005,745,743,754.3,747.8
02/05/2005,747.8,747.8,758.5,755.8
03/05/2005,755.8,752.3,759.3,757
04/05/2005,757,756,761,758
06/05/2005,758,758,770,768.5
09/05/2005,768.5,766.3,770.5,768.8
10/05/2005,768.8,764,773.3,764.5
